ID,BA,PPO,Nreads.tot
ASV_1259,157,0,157
ASV_126,1635,4061,5696
ASV_1260,157,0,157
ASV_1261,157,0,157
ASV_1262,132,24,156
ASV_1263,150,6,156
ASV_1264,104,52,156
ASV_1265,69,87,156
ASV_1266,156,0,156
ASV_1267,156,0,156
ASV_1268,137,18,155
ASV_1269,120,35,155
ASV_127,3236,2202,5438
ASV_1270,141,14,155
ASV_1271,153,2,155
ASV_1272,105,50,155
ASV_1273,85,69,154
ASV_1274,146,8,154
ASV_1275,126,27,153
ASV_1276,4,149,153
ASV_1277,6,147,153
ASV_1278,0,153,153
ASV_1279,0,152,152
ASV_128,3100,2291,5391
ASV_1280,0,152,152
ASV_1281,81,71,152
ASV_1282,152,0,152
ASV_1283,152,0,152
ASV_1284,152,0,152
ASV_1285,140,11,151
ASV_1286,137,14,151
ASV_1287,86,64,150
ASV_1288,44,106,150
ASV_1289,150,0,150
ASV_129,5349,16,5365
ASV_1290,50,99,149
ASV_1291,147,2,149
ASV_1292,149,0,149
ASV_1293,149,0,149
ASV_1294,149,0,149
ASV_1295,149,0,149
ASV_1296,56,92,148
ASV_1297,0,148,148
ASV_1298,0,148,148
ASV_1299,62,85,147
ASV_13,983,55378,56361
ASV_130,4358,963,5321
ASV_1300,146,1,147
ASV_1301,132,15,147
ASV_1302,147,0,147
ASV_1303,3,143,146
ASV_1304,121,25,146
ASV_1305,140,6,146
ASV_1306,48,98,146
ASV_1307,0,146,146
ASV_1308,146,0,146
ASV_1309,146,0,146
ASV_131,1210,4085,5295
ASV_1310,146,0,146
ASV_1311,146,0,146
ASV_1312,0,145,145
ASV_1313,145,0,145
ASV_1314,145,0,145
ASV_1315,6,138,144
ASV_1316,58,86,144
ASV_1317,143,1,144
ASV_1318,142,2,144
ASV_1319,0,144,144
ASV_132,1,5259,5260
ASV_1320,0,144,144
ASV_1321,144,0,144
ASV_1322,84,59,143
ASV_1323,0,143,143
ASV_1324,143,0,143
ASV_1325,99,43,142
ASV_1326,0,142,142
ASV_1327,142,0,142
ASV_1328,142,0,142
ASV_1329,141,0,141
ASV_133,3007,2238,5245
ASV_1330,141,0,141
ASV_1331,0,140,140
ASV_1332,138,2,140
ASV_1333,140,0,140
ASV_1334,53,86,139
ASV_1335,58,81,139
ASV_1336,136,3,139
ASV_1337,7,132,139
ASV_1338,0,139,139
ASV_1339,139,0,139
ASV_134,4430,723,5153
ASV_1340,139,0,139
ASV_1341,139,0,139
ASV_1342,139,0,139
ASV_1343,0,138,138
ASV_1344,0,138,138
ASV_1345,135,3,138
ASV_1346,124,14,138
ASV_1347,138,0,138
ASV_1348,138,0,138
ASV_1349,137,0,137
ASV_135,3249,1891,5140
ASV_1350,106,30,136
ASV_1351,69,67,136
ASV_1352,0,136,136
ASV_1353,123,13,136
ASV_1354,0,136,136
ASV_1355,136,0,136
ASV_1356,136,0,136
ASV_1357,8,127,135
ASV_1358,126,9,135
ASV_1359,135,0,135
ASV_136,108,5000,5108
ASV_1360,77,57,134
ASV_1361,1,133,134
ASV_1362,134,0,134
ASV_1363,134,0,134
ASV_1364,134,0,134
ASV_1365,134,0,134
ASV_1366,134,0,134
ASV_1367,117,16,133
ASV_1368,1,132,133
ASV_1369,127,6,133
ASV_137,4303,734,5037
ASV_1370,125,8,133
ASV_1371,133,0,133
ASV_1372,129,3,132
ASV_1373,127,5,132
ASV_1374,132,0,132
ASV_1375,132,0,132
ASV_1376,97,34,131
ASV_1377,125,6,131
ASV_1378,128,3,131
ASV_1379,90,41,131
ASV_138,4649,372,5021
ASV_1380,131,0,131
ASV_1381,131,0,131
ASV_1382,131,0,131
ASV_1383,131,0,131
ASV_1384,52,78,130
ASV_1385,124,6,130
ASV_1386,1,129,130
ASV_1387,92,37,129
ASV_1388,117,12,129
ASV_1389,86,43,129
ASV_139,5020,0,5020
ASV_1390,129,0,129
ASV_1391,118,10,128
ASV_1392,10,118,128
ASV_1393,118,10,128
ASV_1394,0,128,128
ASV_1395,115,13,128
ASV_1396,128,0,128
ASV_1397,128,0,128
ASV_1398,128,0,128
ASV_1399,0,127,127
ASV_14,43541,9459,53000
ASV_140,4972,34,5006
ASV_1400,0,127,127
ASV_1401,126,1,127
ASV_1402,127,0,127
ASV_1403,120,6,126
ASV_1404,2,124,126
ASV_1405,115,11,126
ASV_1406,0,126,126
ASV_1407,0,126,126
ASV_1408,126,0,126
ASV_1409,126,0,126
ASV_141,18,4924,4942
ASV_1410,103,22,125
ASV_1411,108,17,125
ASV_1412,125,0,125
ASV_1413,125,0,125
ASV_1414,125,0,125
ASV_1415,125,0,125
ASV_1416,125,0,125
ASV_1417,116,8,124
ASV_1418,18,106,124
ASV_1419,90,34,124
ASV_142,327,4606,4933
ASV_1420,64,60,124
ASV_1421,7,117,124
ASV_1422,112,12,124
ASV_1423,108,16,124
ASV_1424,124,0,124
ASV_1425,105,18,123
ASV_1426,122,1,123
ASV_1427,99,24,123
ASV_1428,50,73,123
ASV_1429,123,0,123
ASV_143,4246,685,4931
ASV_1430,123,0,123
ASV_1431,117,5,122
ASV_1432,111,11,122
ASV_1433,0,122,122
ASV_1434,0,122,122
ASV_1435,84,37,121
ASV_1436,84,37,121
ASV_1437,0,121,121
ASV_1438,81,40,121
ASV_1439,80,41,121
ASV_144,3324,1602,4926
ASV_1440,120,1,121
ASV_1441,0,121,121
ASV_1442,23,98,121
ASV_1443,121,0,121
ASV_1444,93,27,120
ASV_1445,110,10,120
ASV_1446,69,51,120
ASV_1447,120,0,120
ASV_1448,120,0,120
ASV_1449,97,22,119
ASV_145,893,3998,4891
ASV_1450,116,3,119
ASV_1451,0,119,119
ASV_1452,0,119,119
ASV_1453,117,2,119
ASV_1454,119,0,119
ASV_1455,119,0,119
ASV_1456,119,0,119
ASV_1457,41,77,118
ASV_1458,117,1,118
ASV_1459,118,0,118
ASV_146,349,4539,4888
ASV_1460,118,0,118
ASV_1461,118,0,118
ASV_1462,51,66,117
ASV_1463,0,117,117
ASV_1464,96,21,117
ASV_1465,10,107,117
ASV_1466,83,34,117
ASV_1467,117,0,117
ASV_1468,117,0,117
ASV_1469,117,0,117
ASV_147,4666,175,4841
ASV_1470,83,33,116
ASV_1471,114,2,116
ASV_1472,0,116,116
ASV_1473,116,0,116
ASV_1474,116,0,116
ASV_1475,116,0,116
ASV_1476,116,0,116
ASV_1477,46,69,115
ASV_1478,69,46,115
ASV_1479,101,14,115
ASV_148,4288,540,4828
ASV_1480,115,0,115
ASV_1481,115,0,115
ASV_1482,115,0,115
ASV_1483,0,114,114
ASV_1484,100,14,114
ASV_1485,8,106,114
ASV_1486,113,1,114
ASV_1487,111,3,114
ASV_1488,42,72,114
ASV_1489,114,0,114
ASV_149,4408,396,4804
ASV_1490,68,45,113
ASV_1491,76,37,113
ASV_1492,108,5,113
ASV_1493,112,1,113
ASV_1494,2,111,113
ASV_1495,106,6,112
ASV_1496,104,8,112
ASV_1497,0,112,112
ASV_1498,0,112,112
ASV_1499,0,112,112
ASV_15,43863,0,43863
ASV_150,4476,287,4763
ASV_1500,112,0,112
ASV_1501,112,0,112
ASV_1502,112,0,112
ASV_1503,112,0,112
ASV_1504,57,54,111
ASV_1505,0,111,111
ASV_1506,0,111,111
ASV_1507,70,41,111
ASV_1508,107,4,111
ASV_1509,111,0,111
ASV_151,4411,297,4708
ASV_1510,26,81,107
ASV_1511,99,11,110
ASV_1512,62,48,110
ASV_1513,0,110,110
ASV_1514,98,12,110
ASV_1515,101,9,110
ASV_1516,43,67,110
ASV_1517,109,1,110
ASV_1518,108,2,110
ASV_1519,110,0,110
ASV_152,4065,601,4666
ASV_1520,110,0,110
ASV_1521,110,0,110
ASV_1522,13,96,109
ASV_1523,0,109,109
ASV_1524,106,3,109
ASV_1525,109,0,109
ASV_1526,109,0,109
ASV_1527,98,10,108
ASV_1528,78,30,108
ASV_1529,0,108,108
ASV_153,701,3945,4646
ASV_1530,0,108,108
ASV_1531,93,15,108
ASV_1532,106,2,108
ASV_1533,0,108,108
ASV_1534,106,2,108
ASV_1535,108,0,108
ASV_1536,93,14,107
ASV_1537,0,107,107
ASV_1538,72,35,107
ASV_1539,107,0,107
ASV_154,4535,107,4642
ASV_1540,78,28,106
ASV_1541,105,1,106
ASV_1542,105,1,106
ASV_1543,106,0,106
ASV_1544,106,0,106
ASV_1545,65,40,105
ASV_1546,69,36,105
ASV_1547,15,90,105
ASV_1548,37,68,105
ASV_1549,62,43,105
ASV_155,2552,2046,4598
ASV_1550,0,105,105
ASV_1551,0,105,105
ASV_1552,103,0,103
ASV_1553,105,0,105
ASV_1554,10,94,104
ASV_1555,0,104,104
ASV_1556,15,89,104
ASV_1557,2,102,104
ASV_1558,104,0,104
ASV_1559,104,0,104
ASV_156,4455,128,4583
ASV_1560,22,81,103
ASV_1561,91,12,103
ASV_1562,8,95,103
ASV_1563,103,0,103
ASV_1564,103,0,103
ASV_1565,103,0,103
ASV_1566,4,98,102
ASV_1567,92,10,102
ASV_1568,101,1,102
ASV_1569,56,46,102
ASV_157,4470,53,4523
ASV_1570,101,1,102
ASV_1571,100,2,102
ASV_1572,102,0,102
ASV_1573,102,0,102
ASV_1574,100,1,101
ASV_1575,0,101,101
ASV_1576,100,1,101
ASV_1577,101,0,101
ASV_1578,101,0,101
ASV_1579,0,100,100
ASV_158,2802,1575,4377
ASV_1580,54,46,100
ASV_1581,64,36,100
ASV_1582,0,100,100
ASV_1583,93,7,100
ASV_1584,75,25,100
ASV_1585,50,50,100
ASV_1586,100,0,100
ASV_1587,100,0,100
ASV_1588,41,58,99
ASV_1589,97,2,99
ASV_159,4351,1,4352
ASV_1590,87,12,99
ASV_1591,99,0,99
ASV_1592,99,0,99
ASV_1593,99,0,99
ASV_1594,99,0,99
ASV_1595,87,11,98
ASV_1596,97,1,98
ASV_1597,0,98,98
ASV_1598,76,22,98
ASV_1599,98,0,98
ASV_16,1503,34095,35598
ASV_160,3081,1254,4335
ASV_1600,98,0,98
ASV_1601,98,0,98
ASV_1602,75,22,97
ASV_1603,7,90,97
ASV_1604,97,0,97
ASV_1605,97,0,97
ASV_1606,97,0,97
ASV_1607,0,96,96
ASV_1608,0,96,96
ASV_1609,86,10,96
ASV_161,1205,3109,4314
ASV_1610,75,21,96
ASV_1611,94,2,96
ASV_1612,75,21,96
ASV_1613,96,0,96
ASV_1614,96,0,96
ASV_1615,96,0,96
ASV_1616,96,0,96
ASV_1617,96,0,96
ASV_1618,96,0,96
ASV_1619,29,66,95
ASV_162,4293,0,4293
ASV_1620,90,5,95
ASV_1621,48,47,95
ASV_1622,93,2,95
ASV_1623,0,95,95
ASV_1624,83,12,95
ASV_1625,0,95,95
ASV_1626,66,29,95
ASV_1627,95,0,95
ASV_1628,95,0,95
ASV_1629,95,0,95
ASV_163,4200,42,4242
ASV_1630,95,0,95
ASV_1631,95,0,95
ASV_1632,32,62,94
ASV_1633,80,14,94
ASV_1634,90,4,94
ASV_1635,0,94,94
ASV_1636,1,93,94
ASV_1637,0,94,94
ASV_1638,66,28,94
ASV_1639,94,0,94
ASV_164,4021,93,4114
ASV_1640,29,64,93
ASV_1641,0,93,93
ASV_1642,86,7,93
ASV_1643,93,0,93
ASV_1644,0,0,0
ASV_1645,93,0,93
ASV_1646,93,0,93
ASV_1647,93,0,93
ASV_1648,91,1,92
ASV_1649,89,3,92
ASV_165,297,3793,4090
ASV_1650,90,2,92
ASV_1651,72,20,92
ASV_1652,0,92,92
ASV_1653,92,0,92
ASV_1654,92,0,92
ASV_1655,92,0,92
ASV_1656,88,3,91
ASV_1657,91,0,91
ASV_1658,91,0,91
ASV_1659,32,58,90
ASV_166,3000,1057,4057
ASV_1660,1,89,90
ASV_1661,0,90,90
ASV_1662,1,89,90
ASV_1663,25,65,90
ASV_1664,90,0,90
ASV_1665,90,0,90
ASV_1666,90,0,90
ASV_1667,10,79,89
ASV_1668,0,89,89
ASV_1669,0,89,89
ASV_167,4046,1,4047
ASV_1670,48,41,89
ASV_1671,64,25,89
ASV_1672,89,0,89
ASV_1673,89,0,89
ASV_1674,89,0,89
ASV_1675,68,20,88
ASV_1676,28,60,88
ASV_1677,3,85,88
ASV_1678,82,6,88
ASV_1679,0,88,88
ASV_168,1015,3017,4032
ASV_1680,88,0,88
ASV_1681,88,0,88
ASV_1682,88,0,88
ASV_1683,88,0,88
ASV_1684,88,0,88
ASV_1685,15,72,87
ASV_1686,0,87,87
ASV_1687,12,75,87
ASV_1688,59,28,87
ASV_1689,0,87,87
ASV_169,2933,1098,4031
ASV_1690,0,87,87
ASV_1691,0,87,87
ASV_1692,87,0,87
ASV_1693,87,0,87
ASV_1694,87,0,87
ASV_1695,87,0,87
ASV_1696,87,0,87
ASV_1697,0,86,86
ASV_1698,51,35,86
ASV_1699,4,82,86
ASV_17,34285,928,35213
ASV_170,3772,145,3917
ASV_1700,85,1,86
ASV_1701,9,77,86
ASV_1702,86,0,86
ASV_1703,86,0,86
ASV_1704,86,0,86
ASV_1705,86,0,86
ASV_1706,86,0,86
ASV_1707,86,0,86
ASV_1708,86,0,86
ASV_1709,86,0,86
ASV_171,3121,743,3864
ASV_1710,86,0,86
ASV_1711,20,65,85
ASV_1712,9,76,85
ASV_1713,0,85,85
ASV_1714,78,7,85
ASV_1715,0,85,85
ASV_1716,75,10,85
ASV_1717,85,0,85
ASV_1718,85,0,85
ASV_1719,85,0,85
ASV_172,460,3393,3853
ASV_1720,18,66,84
ASV_1721,30,54,84
ASV_1722,76,8,84
ASV_1723,71,13,84
ASV_1724,68,16,84
ASV_1725,83,1,84
ASV_1726,84,0,84
ASV_1727,84,0,84
ASV_1728,84,0,84
ASV_1729,81,2,83
ASV_173,3794,11,3805
ASV_1730,82,1,83
ASV_1731,0,83,83
ASV_1732,83,0,83
ASV_1733,83,0,83
ASV_1734,83,0,83
ASV_1735,83,0,83
ASV_1736,83,0,83
ASV_1737,9,73,82
ASV_1738,28,54,82
ASV_1739,19,63,82
ASV_174,3444,352,3796
ASV_1740,0,82,82
ASV_1741,0,82,82
ASV_1742,42,40,82
ASV_1743,80,2,82
ASV_1744,0,82,82
ASV_1745,82,0,82
ASV_1746,71,10,81
ASV_1747,62,19,81
ASV_1748,0,81,81
ASV_1749,65,16,81
ASV_175,28,3763,3791
ASV_1750,0,81,81
ASV_1751,0,81,81
ASV_1752,81,0,81
ASV_1753,81,0,81
ASV_1754,81,0,81
ASV_1755,81,0,81
ASV_1756,0,80,80
ASV_1757,0,80,80
ASV_1758,0,80,80
ASV_1759,57,23,80
ASV_176,1934,1818,3752
ASV_1760,0,80,80
ASV_1761,80,0,80
ASV_1762,80,0,80
ASV_1763,80,0,80
ASV_1764,70,9,79
ASV_1765,0,79,79
ASV_1766,0,79,79
ASV_1767,79,0,79
ASV_1768,79,0,79
ASV_1769,79,0,79
ASV_177,1,3725,3726
ASV_1770,79,0,79
ASV_1771,79,0,79
ASV_1772,79,0,79
ASV_1773,79,0,79
ASV_1774,79,0,79
ASV_1775,79,0,79
ASV_1776,28,50,78
ASV_1777,44,34,78
ASV_1778,3,75,78
ASV_1779,9,69,78
ASV_178,1697,2009,3706
ASV_1780,63,15,78
ASV_1781,29,49,78
ASV_1782,78,0,78
ASV_1783,78,0,78
ASV_1784,36,41,77
ASV_1785,70,7,77
ASV_1786,2,75,77
ASV_1787,58,19,77
ASV_1788,0,77,77
ASV_1789,26,51,77
ASV_179,119,3586,3705
ASV_1790,9,68,77
ASV_1791,77,0,77
ASV_1792,11,65,76
ASV_1793,74,2,76
ASV_1794,2,74,76
ASV_1795,51,25,76
ASV_1796,76,0,76
ASV_1797,76,0,76
ASV_1798,76,0,76
ASV_1799,76,0,76
ASV_18,205,34375,34580
ASV_180,1781,1924,3705
ASV_1800,76,0,76
ASV_1801,76,0,76
ASV_1802,40,35,75
ASV_1803,0,75,75
ASV_1804,0,75,75
ASV_1805,69,6,75
ASV_1806,0,75,75
ASV_1807,74,1,75
ASV_1808,0,75,75
ASV_1809,14,61,75
ASV_181,3595,74,3669
ASV_1810,75,0,75
ASV_1811,75,0,75
ASV_1812,75,0,75
ASV_1813,75,0,75
ASV_1814,75,0,75
ASV_1815,22,52,74
ASV_1816,68,6,74
ASV_1817,25,49,74
ASV_1818,44,30,74
ASV_1819,23,51,74
ASV_182,0,3616,3616
ASV_1820,60,14,74
ASV_1821,0,74,74
ASV_1822,0,74,74
ASV_1823,0,74,74
ASV_1824,74,0,74
ASV_1825,74,0,74
ASV_1826,0,73,73
ASV_1827,56,17,73
ASV_1828,0,73,73
ASV_1829,68,5,73
ASV_183,3526,0,3526
ASV_1830,0,73,73
ASV_1831,0,73,73
ASV_1832,0,73,73
ASV_1833,34,39,73
ASV_1834,73,0,73
ASV_1835,9,63,72
ASV_1836,21,51,72
ASV_1837,45,27,72
ASV_1838,72,0,72
ASV_1839,72,0,72
ASV_184,760,2723,3483
ASV_1840,72,0,72
ASV_1841,72,0,72
ASV_1842,62,9,71
ASV_1843,1,70,71
ASV_1844,2,69,71
ASV_1845,63,8,71
ASV_1846,0,71,71
ASV_1847,0,71,71
ASV_1848,70,1,71
ASV_1849,70,0,70
ASV_185,3193,254,3447
ASV_1850,71,0,71
ASV_1851,71,0,71
ASV_1852,71,0,71
ASV_1853,6,64,70
ASV_1854,10,60,70
ASV_1855,67,3,70
ASV_1856,0,70,70
ASV_1857,68,2,70
ASV_1858,56,14,70
ASV_1859,58,12,70
ASV_186,3427,0,3427
ASV_1860,70,0,70
ASV_1861,70,0,70
ASV_1862,70,0,70
ASV_1863,70,0,70
ASV_1864,43,26,69
ASV_1865,49,20,69
ASV_1866,0,69,69
ASV_1867,0,69,69
ASV_1868,0,69,69
ASV_1869,37,32,69
ASV_187,508,2899,3407
ASV_1870,69,0,69
ASV_1871,69,0,69
ASV_1872,69,0,69
ASV_1873,18,50,68
ASV_1874,36,32,68
ASV_1875,56,12,68
ASV_1876,1,67,68
ASV_1877,68,0,68
ASV_1878,68,0,68
ASV_1879,68,0,68
ASV_188,3390,0,3390
ASV_1880,68,0,68
ASV_1881,64,3,67
ASV_1882,49,18,67
ASV_1883,64,3,67
ASV_1884,1,66,67
ASV_1885,0,67,67
ASV_1886,0,67,67
ASV_1887,67,0,67
ASV_1888,67,0,67
ASV_1889,67,0,67
ASV_189,2753,614,3367
ASV_1890,67,0,67
ASV_1891,0,66,66
ASV_1892,0,66,66
ASV_1893,0,66,66
ASV_1894,26,40,66
ASV_1895,0,66,66
ASV_1896,66,0,66
ASV_1897,66,0,66
ASV_1898,66,0,66
ASV_1899,66,0,66
ASV_19,32448,2048,34496
ASV_190,2637,722,3359
ASV_1900,66,0,66
ASV_1901,66,0,66
ASV_1902,66,0,66
ASV_1903,66,0,66
ASV_1904,66,0,66
ASV_1905,0,65,65
ASV_1906,25,40,65
ASV_1907,37,28,65
ASV_1908,0,0,0
ASV_1909,65,0,65
ASV_191,828,2524,3352
ASV_1910,65,0,65
ASV_1911,65,0,65
ASV_1912,65,0,65
ASV_1913,65,0,65
ASV_1914,65,0,65
ASV_1915,3,61,64
ASV_1916,60,4,64
ASV_1917,45,19,64
ASV_1918,33,31,64
ASV_1919,52,12,64
ASV_192,3348,0,3348
ASV_1920,0,64,64
ASV_1921,0,64,64
ASV_1922,3,61,64
ASV_1923,9,55,64
ASV_1924,64,0,64
ASV_1925,64,0,64
ASV_1926,64,0,64
ASV_1927,64,0,64
ASV_1928,64,0,64
ASV_1929,64,0,64
ASV_193,3280,0,3280
ASV_1930,2,61,63
ASV_1931,0,63,63
ASV_1932,4,59,63
ASV_1933,28,35,63
ASV_1934,62,1,63
ASV_1935,0,63,63
ASV_1936,63,0,63
ASV_1937,63,0,63
ASV_1938,63,0,63
ASV_1939,63,0,63
ASV_194,430,2845,3275
ASV_1940,37,25,62
ASV_1941,32,30,62
ASV_1942,36,26,62
ASV_1943,1,61,62
ASV_1944,0,62,62
ASV_1945,0,62,62
ASV_1946,0,62,62
ASV_1947,0,0,0
ASV_1948,62,0,62
ASV_1949,62,0,62
ASV_195,3239,0,3239
ASV_1950,62,0,62
ASV_1951,62,0,62
ASV_1952,62,0,62
ASV_1953,51,10,61
